m c
0.3795627136871352 0.7212042811086175
0.6057119433201079 -0.3603597619530614
0.377563499085935 0.9820587265095813
0.39787072384378847 0.9760715526024342
0.5654441164286721 0.19927739664560384
0.5812007308577466 0.06286523712680214
0.4422226613953527 0.26674168614578164
0.5467717210824556 -0.2379367543117339
0.41925147055545076 0.42470999603526804
0.4299380460465538 0.8852740947074644
0.5999792538041107 -0.25211236498763623
0.5608821447018423 0.2089036007326457
0.4169662392723794 0.9047820420594288
0.5457733746213367 -0.21737086679422113
0.55903124576192 0.2097839954850378
0.5598835471228458 -0.24430773857037158
0.4550216833515287 0.21856080482568085
0.4677831047961235 0.7158157237013789
0.5370664888482424 -0.16877947264330917
0.5216937153197846 -0.10884257841872302
0.4486939542725533 0.7847350854505768
0.5835663627117466 -0.04204270336180693
0.5598586656933975 -0.22893595079332996
0.4427688857980216 0.8012755875719879
0.4737310092502942 0.12543219424362828
0.5852535831313539 -0.21415528840549336
0.4189838816082819 0.8587593377478768
0.5708048978626132 -0.23193916634877176
0.5453786238637097 0.27441121498997756
0.5023751754932289 -0.015319056550047616
0.5344385393207874 0.34436792737375166
0.5760422424184575 -0.22500279275816215
0.579028900098486 -0.2188818909215846
0.5732416014894186 -0.22414077124581144
0.5723442041137743 -0.22205508689495534
0.3972072929894513 0.7482283983124534
0.43911844054905724 0.7979586869303681
0.5126060025604775 -0.05329867138756561
0.4883873305418829 0.5977773927478722
0.501629248812343 0.5301928858130585
0.39806419856230985 0.7706306928850744
0.5764068707346355 -0.0062708197026482
0.42653997239247277 0.8261239011273691
0.398417939406929 0.7745789261919334
0.4101301019015052 0.84398085935827
0.5821623300505443 -0.15904340448405874
0.4440243477126439 0.3205157938768246
0.4379701831674229 0.36191506579164967
0.5529542345029358 -0.1845800175539376
0.498607679726748 0.015160706509309119
0.5773766903243496 -0.1942130016860666
0.49157837318393843 0.05190106580698961
0.40141772055710145 0.7923187858157075
0.5804055914642349 -0.11185055917954823
0.4652665946380141 0.6911204621932057
0.5221985886140439 0.40290484729949627
0.5440457539735843 0.25834695188399737
0.5741803790895905 -0.015386637982501394
0.5342176554002914 -0.11803034695112102
0.48312479988259105 0.10304946293467943
0.5684205443371183 0.047661670888731855
0.5761400027184038 -0.053150147174204854
0.5348011450314076 0.3159355207028738
0.4850265561365666 0.5940691206100075
0.5010439197689056 0.5128517142389639
0.5280332207050196 -0.09141458318109508
0.47713821641632154 0.6292878214417597
0.5013937631129317 0.018425892880977734
0.5532679159314585 0.17483815853780849
0.5759481205486471 -0.10232593218082497
0.4109601306209371 0.6269775211369968
0.5734937076688345 -0.03939587214427953
0.41461949240839446 0.5868848637389164
0.5745168419724439 -0.06581339840304246
0.46471409346568104 0.6775061918778835
0.5061198853632265 0.4801131526189195
0.5325679187616127 0.32099412152088025
0.46998559088625846 0.6550397224192426
0.5681300193340195 -0.16086125894805736
0.47094365139395244 0.6504623974718555
0.4718239546454247 0.6464912776038898
0.5617709176337246 -0.16247627700910616
0.47008157608522805 0.1857222255554678
0.549660900196081 -0.14386316783060504
0.43637840330119887 0.7671096411305136
0.499759966831313 0.5103305732763341
0.5695678993986708 -0.14738823917311872
0.5685918894580698 -0.14220783534064152
0.41382900706303233 0.7791406780123515
0.409977220992605 0.7555518853663008
0.4125867299899797 0.7730681308018057
0.562422823820498 -0.15043137529061368
0.41279609125332617 0.7735195605576384
0.5110195279271708 0.4446201431587018
0.45266560759177366 0.29739894713473225
0.5714844382238574 -0.11481708730770279
0.4982689677563224 0.5134151738906887
0.47501055269378806 0.1656271049079261
0.5619920260936596 -0.14556400948461223
0.4628408330748782 0.6715452390137386
0.45589256976338266 0.28232040369661693
0.5703520359422902 -0.06391254370228205
0.5156968321213726 0.4119254402698105
0.5642106274089865 -0.13407248741891786
0.4167982441523238 0.7635610128216794
