m c sigma
0.5745437345895321 -0.6000503657637348 6.6439944880084205
0.18983890360325217 -0.2980237395767875 4.641724347932577
0.361555932398379 -0.19957905058540515 3.9656778205636267
0.395346769890047 -1.3272413001349035 5.991548503262623
0.9061666007203123 -1.131733055589112 5.237749728118146
0.3717826361032969 -1.1873598609289326 5.916462757130374
0.7346016715923387 -0.03568402315568164 4.796612699479841
0.4246657873760095 -1.70327765990741 5.220067185842176
0.19215807109623728 0.30481614613454733 4.263947383436281
0.7104643031131203 -1.7441338185240656 4.135187335597957
0.11336302281498012 0.5484634918991018 4.504281222621094
0.1605637814492869 1.7860780703274495 4.147136806650023
0.7250634535343059 -1.7962833321869502 6.159147073185803
0.06902895514079466 1.7457120774709045 6.081719108667196
0.25003189839693907 -0.09278343681055734 6.01336223374303
0.2559273381925625 -0.07609480764051701 6.026682341751444
0.3391673109319632 1.139599584068054 6.185963678069858
0.12380550958204839 0.6548656339850232 5.868561733682604
0.442089549258183 -0.9580863162725259 4.246300522494735
0.32268763192328964 0.8014380755316255 4.0532067172030075
0.32386503872946115 -0.8282907050746888 4.688119242934118
0.3570830667411353 1.5371807365683487 4.411594245782089
0.2656163740651032 0.29338582345505415 4.167387359312213
0.3739157250594147 0.30524293219498455 6.249348878734667
0.050243257130300756 0.989675109050848 4.757573260119658
0.7760156555314801 -0.49887552629416954 5.362772237942427
0.47435422927900595 -1.674302247086282 5.459870318514345
0.407380978801285 0.016899532714966803 4.04820298366896
0.8757929274892473 -1.388161332482492 4.9922924565253455
0.8732109744606498 -1.4876494597854153 5.487545265847475
0.5590754996978681 -0.13712378444589346 6.102400779847087
0.3667249698400471 0.10175382521519571 6.152870295275667
0.3045985441919725 -0.07074247977852188 6.009402661661869
0.892383322141404 -1.6199881022434774 5.3072541365531
0.5253497817836271 0.20748587400285512 6.037910351246785
0.48313265938230765 1.0308018710664824 4.626865836649648
0.1789636743180889 1.2097771230902796 4.2324802261887475
0.044909729962999134 1.1554311196825808 5.485876938992495
0.3731741619678657 -0.27871432096105453 4.188809469731662
0.700684515209931 -1.281464188911526 5.994588079259663
0.05573721282577063 1.4025021272925482 5.706641720995908
0.340011217472161 1.4356518910540164 5.864471530272133
0.6326221460971735 -0.5509020734449457 6.00543010919454
0.5699734237626622 -1.7769014937430097 5.701478880230506
0.3314659257337038 1.5632991550268134 5.777926455404426
0.2649164830304279 0.9746209698570483 4.168908872283803
0.4383084439971674 0.8045308957443904 5.939862558913576
0.07294517766936945 1.1277346218808613 5.599534593160476
0.11609852287550286 1.7188501686311164 5.863670154463224
0.32664004977180167 1.265100771355054 4.285480877600976
0.1367347786949924 1.011773527223911 4.408948416241193
0.7593973613571153 -1.280106562181117 5.8218834420484376
0.22418924089985248 1.5822635293882867 5.91952202058159
0.24302764022245793 1.249274868595553 5.99156060288511
0.46595354341039374 -0.19139577076844838 6.085531940191695
0.10202447705074003 1.5714504990752367 5.825372598539187
0.3223144567100772 1.2731356452844915 5.928066387727159
0.6154800675814401 0.37743764698407034 4.953352509505255
0.7644756289996859 -0.6187150694611354 5.083562338445523
0.00872383632406444 1.638603821750162 5.412175820478584
0.11828299530145914 1.1664931027225554 4.445768071764991
0.7463277658924439 -0.6259476410009048 5.481580724209593
0.6948549577563873 -0.7152396742807832 5.81770985268445
0.2975596993904511 -0.4929485445543902 4.727691650038918
0.4661554848143057 1.136873806174708 5.450100319909773
0.5412752847066721 -1.827958083806208 5.252453599194837
0.35751753570850975 0.07024008134593052 6.0214641697120115
0.5991354029449297 -0.5085613431148466 4.217060524764516
0.5783760187981521 -1.645822343552831 5.736148185136935
0.520507296583266 -1.187792788288528 5.875157673713848
0.89343326492003 -1.997750190568536 5.218268273218597
0.30639463423405844 -0.5852396042876671 5.4005337655204455
0.36197885460600543 -0.9489953787013081 5.199752983703907
0.18357997753061933 0.8906953726072651 5.856540188265753
0.42617438354812587 1.0149133196997089 4.441262640736116
0.11683035041158904 1.2211468952732938 5.744253767342917
0.533712231740237 -1.691236882135348 4.7860786383872735
0.00862079552172157 1.8104298539054802 4.82389754356449
0.07733605383928477 1.7209838387149885 4.509136691771088
0.511831744422709 -0.5771985872351215 6.005296095575462
0.3594953450584692 1.6939595313424953 5.039514302226591
0.4421771706390698 -1.2842589783325198 5.403061332298366
0.4344291746464024 -1.0019502447130657 4.499333385821775
0.478842411790681 -0.8388604386199878 4.271794348200468
0.6373912968890205 -1.767231872228602 4.464903258919185
0.34205089539637795 0.6008634178608889 4.170207530667026
0.10914411125103995 1.3073464703528659 5.722238245405295
0.28137709938997113 0.49548066392407675 5.950801319160254
0.6081451110622376 -1.0205644614380303 4.231879287461827
0.6860528640467184 -1.85040043421046 5.740163069080964
0.3116088799571503 0.14087765352455772 5.915048709037411
0.27434063368501516 0.8920931519205699 5.94929517717312
0.18187624358606325 0.9020604135772294 4.36849341603544
0.18204761458708557 0.7481750076234759 5.7636747741069545
0.4707083129686704 1.028215135573896 5.45369174037579
0.447074650619812 1.1263450637004762 4.714351367015887
0.5514409147819834 0.14845402428028232 5.816713735643053
0.3364602363601213 0.66077688757031 4.190768846341201
0.31989751435351743 0.4452434027795702 5.962526913018049
0.5012745143729225 -0.07910510219679923 4.19127162064822
0.6467623322297336 0.020963494923055936 5.3790833587571125
0.49034814738952703 0.7626511432891907 5.625656339921625
0.5661917125526806 -0.246849300458301 5.900980387772458
0.1793687564380808 0.26466866183075854 4.916557748967124
0.07302373211636737 1.106447800771437 5.27061851356943
0.46843565057137654 -0.4151249033989828 5.958856761935184
0.800616997215359 -1.6008800568400867 5.576210082702493
0.502363649259204 -0.27308384363923666 4.1823306959931985
0.30713717161372933 1.8295632190183362 4.891262004071628
0.621760272087432 0.09065698174084247 5.4923803451704725
0.43009591536033387 1.2629647717616663 5.332347033946209
0.6749707850520803 -0.11664344953425076 5.0494092265797
0.19748957084947727 0.15699778581849433 5.287357915563897
0.6170355301032526 -0.7186469165041314 5.881947754851089
0.6333655148728641 -1.2713716556308126 5.846548148580064
0.7975789969419039 -1.083578583999129 5.051468150302404
0.6136481533017091 -0.3244733607094501 4.364789642457869
0.81172519138967 -1.5493298753338398 5.4839829276420895
0.8268465346603938 -1.38758364045576 5.026819489373971
0.4786695037258568 -1.3604341556392414 5.433122018408547
0.47683579493735695 -1.4378277250744307 5.202497012068731
0.5265571232333099 -1.4385660652125343 4.582756364667214
0.23372192197620778 0.18072116439339947 5.6141910621085875
0.4684507276728115 0.6448809509477691 4.398514301833004
0.37738973335993176 0.1418325416997015 5.943045695066138
0.5165167326463135 -1.1253437821103258 5.7752679666561075
0.5781250394560657 0.15710608185209418 4.510617236929678
0.5859911695775337 0.3077853459679569 4.719031002478112
0.4675041240026987 -0.26004676956919637 4.19165694675059
0.38645765448236363 0.33664998540201463 5.941487866374947
0.2745475221698948 0.6089810434386456 4.266207651561784
0.3927710741026133 0.7120162452657537 4.267669663120548
0.6193556317576099 0.1976171583924553 5.245933114125415
0.5736139081009793 -1.8002317198052258 5.319151540951773
0.4287473963858611 1.2471105140248024 4.880570926581109
0.48776493125569975 0.6612748777676893 5.666251465343209
0.638712665685997 -0.5588787906204211 4.369648197859558
0.36430421829849924 -0.7778679618067694 5.395257991445858
0.5856815230079772 0.38788325154896963 4.88858887361156
0.5836835969195355 0.3055354346603769 4.712353338513632
0.2793359091495129 -0.36381508917814687 5.131699596723168
0.4533255246182755 0.9345239332528688 4.586900756669614
0.8410862079298452 -1.651839106568023 5.176313466180024
0.6297193254348382 -1.0982988605361657 5.8391176793826265
0.5927761394181055 -1.9061852216178448 5.037490524050737
0.7438548184682253 -1.4893536718539513 4.481526327879127
0.33710822598259255 0.9068306209095698 5.866014201779431
0.40717326303251355 -0.9292237997708179 4.674626450140304
0.20760095612289975 0.343290080940855 5.546358203674675
0.17182523322307605 1.9937339282030413 5.549993641268421
0.4642921259172464 -0.24528821724133865 4.207034225080933
0.6519799469170356 -0.9743084299636771 4.337843756991279
0.18393444003956028 1.9284446809940463 4.5817854180688125
0.4993247265805316 -0.09287739812435003 4.228849447832076
0.8476240417294273 -1.8740944442010752 5.14019847331443
0.732101397754285 -0.725425727691055 5.381223470214833
0.4988615749077133 -1.3197735445928862 5.518412641177647
0.7994805677649569 -1.4156458289349303 5.394090361153349
0.12068556724386004 1.1082136232045041 4.61978562871634
0.7214342137958245 -1.3336159060039279 5.685206151398862
0.327679353923623 1.5637737135078265 4.684152103839549
0.4657009757557143 0.6335446468262749 4.421712923933492
0.316231261811329 -0.12661023715603337 5.698786824001864
0.6281250742017265 -0.20362563165727088 5.609149881066578
0.673501386883058 -1.6187946925016523 4.457385589482807
0.5941065871218382 -1.8591353183075965 5.213818760728889
0.8255188466060892 -1.5463030264009605 5.06542990250983
0.7650979695914085 -1.4193918731496122 5.550632266027727
0.7720939590950165 -1.011308513477064 4.939750172489006
0.7937398287462416 -1.433211804501291 5.407477665002394
0.6298353169211225 0.07933253694391329 4.976434481061224
0.28985853726589117 -0.30363038734665593 4.7964426575098456
0.5708557573293496 -0.8606114608852027 5.837223131003368
0.3824913728324273 0.5013912994134833 5.872924462686953
0.09922358236154408 1.193671958883563 4.7389143877459
0.6232994550117772 -0.7178857577853104 5.7868558029558725
0.20943832477983262 0.5438493436957286 5.625281864848462
0.5085179205127824 0.36910544973168946 5.704593486444914
0.2687218651599682 -0.23606716418318285 5.052286562012386
0.6865045287371321 -1.1541107254406031 5.710764066588486
0.47343707874060037 0.3386911241093906 4.316758073989404
0.5086634832549682 -0.01960898743909456 4.2743326261774515
0.5838985018038839 0.040305895486419274 5.612919190065506
0.6739910424185469 -1.5323084560173057 4.44807192233375
0.8018558499626263 -1.8691449506309303 4.731047175578667
0.6907942751732576 -0.5468387177025549 4.6730792529070895
0.2610265769124504 1.3955849165484913 5.707169631907472
