mu sigma
0.6161378385560561 3.6822874411379627
0.8137457301021306 3.5737065085750177
0.5794690107930142 4.641777334572991
0.5434361904823386 4.30771053122949
0.7940251217613705 3.7091213187272607
0.6827422125872131 4.642494657766266
0.6330974904386231 4.327723506431435
0.6654126514116819 4.060817705320873
0.7946536425194863 3.804562990247171
2.768340801703609 3.389475898478841
1.8317714043844529 3.2505892283768754
0.7414513260809003 4.357781345884284
1.2969155544700042 3.42313860376959
0.8771426145447019 3.799809059826
1.6881183962369337 3.288995056020123
1.251717430992617 3.4601617718208773
0.7706091803866175 4.1485397111208
1.440288577050087 3.3988827279565474
1.1119782241359701 3.6144071953526766
1.080822337019078 3.6542753100727507
0.8413057054521094 4.261593133226003
0.8571479363650834 4.068318951728937
0.9193438139406556 4.421018089297982
1.9006324671725099 3.3152689275698144
1.0106888499436497 3.784071455085616
2.539450972963217 3.3951635925606265
1.898040659064422 3.323169777891331
0.9670768381903395 3.8720687408363337
0.9377193592611913 3.9621959239249986
1.7107967029866806 3.3648179814140105
1.0756607484895606 3.7384669525249876
1.0168702138859311 4.488219257603845
1.235892392346218 4.694666835563608
2.9990892334681396 3.722345825573827
2.8156646503925638 4.727921505181407
1.0074001169447566 3.8724916152178226
1.0391225926008756 3.824557343506831
2.1440549900960955 3.342430254208054
1.4749859268177823 3.46370775026098
1.4016507182797024 3.502958483417277
1.234052101141426 3.616534640662645
1.3109820347704266 4.71423857798938
1.1354247405473927 3.7141520310714173
1.572652031664209 3.4298653173876468
2.0348970144996987 3.346461140273786
2.487428193380831 3.4166352152332875
2.796761226610786 3.5685492974541058
1.3750297524454198 3.5270912688795186
1.3642057220704942 3.5363509819773333
1.42012250100365 3.508858221650501
2.9146577402114633 3.677277980450508
1.8375637693795042 3.3721223195700776
2.633804265163922 3.485028500708948
1.2906534417925966 4.67431445136917
1.5621304174959045 3.4464833176875427
0.9791237987354792 4.21003070013475
2.4843271050428015 4.822685764278975
1.0184378900948694 3.9369319880308313
1.0037955857307292 3.980217012613601
1.1111753758183054 3.7804620634452166
1.210642407392568 3.671452997400507
1.6724744802560374 3.4189795153497236
2.258755977516886 3.3813619111500546
1.015880109077947 3.993131773003194
2.031365064595086 3.3677911424598643
1.0126784920543555 4.0516650118432125
2.2747915314546643 4.833331167358139
2.521361983805314 3.4644200341053293
1.4867113586427165 3.5073270055023875
1.169014215375238 4.490100262229276
1.2933994118005343 3.6380020323300313
3.0261412809267068 3.9126079055204213
2.0541575312226388 3.385590526789618
2.745904857198299 4.646304541091886
2.9739374783386547 4.428326732993997
1.1227004938853598 4.413977442931114
2.5918231911157656 3.505862264374698
1.0480929787776934 4.184678500619083
1.407227467738979 3.569796985680685
1.4744187220807745 3.532458614410382
1.6003583893365252 3.4760826831165277
2.652285344842136 3.5474522377296234
1.676978892876033 3.4544850812490178
3.041495657643958 4.195047719197434
1.1023064156998128 3.917774946666644
2.764535164154716 4.603867231786718
1.137277424710627 3.8515505311397056
2.905162786617898 3.7620391542009544
1.0774729964479408 4.248760681373464
1.1172416581876032 4.345182656510574
1.0707756530684596 4.187974122397161
1.2042332761993588 3.762088899231477
1.4005219286119175 3.5883355654392464
1.2513963066075935 4.516834647358787
1.267698561910409 4.52505144383993
1.1092830960286921 4.295943479562623
2.023841739588782 3.4121690103181654
1.0853227162779036 4.083901675495055
1.883462689708616 3.423911978954391
2.5900401292690423 3.535055988299705
1.2458467357930405 4.490726515174178
2.616654741588227 4.653614703715742
1.57372154313733 3.517808846084437
1.1392864147288677 4.292670111084619
1.7754587194855342 3.454607833409636
2.9652630782928022 4.28915249461221
2.675307274303472 3.5994792966734432
2.1758130904275776 3.4310999677885863
2.4513497826555675 3.491709085680514
2.1040116464577 3.428011164976757
1.3079262164940897 3.7010954311160975
1.9591875219042427 4.755313506406463
1.4807292793869542 3.5746125228054835
1.273687382720617 3.739917148197425
1.564797058063729 3.5349009447548463
1.5235946060698822 4.639981347292285
2.174613073420881 3.438828554818817
2.6678142923530586 4.591322745870304
1.1405254756599248 3.9941199931303624
1.3597454384275822 3.6663418461526307
2.264173209962189 3.453987900458963
1.757258584627055 3.472391370679106
1.5910768045834072 3.529175298902168
1.1522532562934025 4.242191854519707
1.7356744339620185 3.480171066643344
2.165685866438655 4.736202655871501
1.852613927952754 4.725625760213421
2.503458386210532 3.528825510946154
2.9247837673387043 3.9079959763709993
1.1531700977558168 3.9845720433949268
1.2309138267178754 3.8181146363775116
1.2677408050143786 3.770130550067871
1.1586764203537148 3.9736677661336213
1.277824105561037 4.442104629751299
1.2397124346861759 3.812540012850421
2.0170326175162008 3.444147712675563
2.329216702966115 3.476922236219723
1.1902647935288282 4.298067318042063
1.1487475965312215 4.080367841508326
2.3809336719221577 4.686063991455183
1.6916612678670528 3.503010387058069
2.0858871468753284 4.72594694603796
1.8156087603307318 3.4718841705405983
1.268566314156199 3.785872040060863
1.577605098323653 3.550017020914491
2.4200512905067697 3.5085188918826877
1.2333572176267116 3.8465659059020445
1.169941852469268 4.006616773867053
1.1635608931295782 4.067280568112827
1.48093432079522 3.608332099142366
1.1714468002931542 4.024256300769477
1.3009464542611417 4.427908183352619
1.1687684015543351 4.053509141178046
1.768170419639363 4.67937258758225
1.8336155205096367 3.477249430604883
1.1692807106708019 4.073936921397923
1.1789658441121125 4.149925929386611
2.4254977683798495 3.523623611003323
1.698982619403676 4.652039173009459
1.207656972092482 3.935317032702584
1.1980544546871834 4.2286664578133975
1.202079337185509 4.240569162335683
1.707742405742373 3.515052229998959
1.1909211328972256 4.200154320878132
2.5928618313450897 3.603996905702102
1.2427446082780165 3.8720915628865513
1.1945478990168263 4.004954318222943
1.9727771270965726 4.69254105936928
1.1963298795078423 4.19085399671927
1.2328403446300649 3.8988626607118486
1.5694006919478547 3.5770395949247265
1.6157688465402633 3.5555545872876775
1.1914944814435913 4.0537842720011055
2.6319850326458107 4.537844072678443
2.4459541126526294 4.624448076908148
1.5582733788605003 4.583192129494577
1.4062815012195282 3.6863426197097775
1.3916343306727317 4.477218585254338
1.733508534478171 3.517417505434798
1.9383373990650044 3.4779260434497115
1.3295963585530253 3.7674709477620167
1.5230593042439555 3.6123513525803626
1.245024885327326 3.903222226605169
2.3037757441403746 4.653353085024331
1.2688587033148975 4.319546464607635
1.2231638265685563 3.9656556959687146
2.4613656519947473 4.605347404812261
1.3795885550388165 3.7227971768325454
1.2163980032459119 4.177076877400791
1.401925629096552 4.464392755960101
2.3214959137542737 3.5124092792642134
1.3272153037431593 4.386706367314531
2.355282719589251 3.5236415139483745
1.2638605258048716 4.283141825591712
1.8020873197626937 3.5131878449728435
1.6774018431717417 3.5521820235761887
1.6089665141975535 3.5835283444722235
2.849391396360699 4.240492945152581
1.2570872157613302 3.927693978020462
1.2390632428096287 4.1883104385383625
2.501292119337945 3.5883702169095235
2.0117553941544326 4.655928935869526
1.6771724606830416 3.5579466638955237
1.372322267328242 4.40767500325651
1.4355352687071794 4.463937419887171
2.829351354137446 4.268672128075221
1.8921225414877345 3.5052631870503115
2.802633726537989 4.308774109030878
1.6221715754992112 4.565934791136712
1.2680599689231697 3.927718025628038
1.9423671777276685 4.643454164752366
2.39890452839881 3.5524049170441887
2.007682332477926 3.495656212784472
1.2534391084339336 3.980551458904381
1.5761511272093507 4.54168430536846
1.4572348481541912 4.469464814965619
1.3192677253878071 4.328948601274914
1.9530978402247914 3.5050203611045294
1.3562789966703215 3.795848242600825
1.883574083213122 3.513927409780222
1.4429527538685896 4.447397395166102
1.6005772981222601 3.6040152382399744
2.03288191154238 3.5019388373399107
1.492896331499463 3.6706825673337673
1.3245774496233922 4.315571652479677
1.7185020743810433 3.5571475035425757
1.5217073179707716 4.497266073755291
2.6807050139292046 4.42409411567612
1.6494965959358763 3.5848653672492716
1.9617618561251868 3.508293025845434
1.8895907889344008 3.516991525033444
1.2845349239265114 3.93361687983535
2.0295727312457648 4.631046204943055
1.3170092489521497 3.868915623996203
2.7416552244010006 4.3530110224685155
1.7140809876522463 3.563339529695067
1.312243090640316 4.276591602990246
1.8992876472436186 3.5205976062613975
1.3119923724639142 3.890554525899203
1.9557309892217318 4.618967314383104
2.821885730385054 3.973549261248049
2.7670682803113764 4.303686701669712
1.4085110394287044 3.765759060219575
1.2998927582201074 3.9417913400945674
1.3753001905045452 4.343231538061958
2.1550985399639164 3.5210940033340936
1.3659243938685102 4.327890765121477
1.395997452561399 3.7843418911687077
1.9670734011653424 4.609111950901399
1.3109964458377896 4.230074142571023
1.640931311864012 4.529052302672175
2.245804744949082 4.590977797336145
1.3450829990371254 4.282357895699679
1.419054268769761 4.373560892581841
1.540530894050093 3.6678992653240243
1.3552901567862878 3.8538492225807226
1.396257721128948 3.798892292472855
1.4035839877234033 3.792452238800096
1.38742267527676 3.817466156731462
1.323699784449322 3.934295697957408
1.3203216228184524 4.200013274651178
1.3884737265920735 3.8203247426601736
1.8045693597069454 3.5598856772455476
2.2651347390949685 3.551851807377179
2.2232435558959347 3.544188989775454
1.5430000126455519 3.676461476629377
1.6317786189186214 4.505050103194468
2.4549362429810264 3.617827217597351
1.4422635931127072 3.762901270586337
2.7904101921576494 4.146328553000631
2.7972263190882782 4.055124209884871
1.6986772575853764 3.5987290202831685
1.5191307115773869 4.43225811650389
1.7906583769249098 3.569388490594851
2.048819865828825 3.53444399471457
1.456241128814161 3.755659763372115
1.4673705458033044 4.388424298065902
2.725034059270815 4.284853424240544
1.4738977866585077 3.7417983977693803
2.298315269444638 4.55293054241274
2.725096179391405 4.279475158846323
1.9701827165737147 4.575553036161675
1.3666047456257242 3.8848802658458568
1.391267315719991 4.291472916834653
1.6919879079443785 3.609646084293567
1.377487569016541 3.868949524111034
1.360831544519899 3.901908035461948
1.382508125972063 4.27356014742981
1.3446552941609315 3.9414020004872716
1.3276982967510198 4.007151544020797
1.377750615432126 3.871299992306134
2.3205778443487683 3.5805555608070803
2.0164902179113295 3.5450739141167156
1.3321328845602678 4.108698742206719
1.9219505778699297 3.5544337336114142
2.772425883035489 4.033085190041952
2.1812713590568644 3.5543346715279527
1.8067203120692696 3.578130236739567
2.661867404554189 3.7924435024922
2.6968278135827326 3.8378710971349164
2.117882475593347 4.56481190939315
2.73759705078616 3.9120274641673376
1.7635684829003726 3.5920053818007216
1.3438053307561963 4.138047031434957
1.3704965395833717 3.9137563963283677
1.4207848699458403 4.300064762520894
1.3484376825422033 3.986627190859903
2.6853040052414743 4.293957828996299
1.3819688335848916 4.232928840037214
1.7180138957421447 3.614300965599726
2.6655530932713694 3.812210778177345
1.641734304049009 3.6503825608364706
1.3995303377159878 4.255664192727664
2.1220492695959052 3.557296240171647
1.6632263023099 4.471611940796003
1.915712200452738 3.567060533800133
1.4581776907295696 4.325043307378504
1.3571601709823495 4.12232493957431
2.1575030355210454 3.564200532025799
2.386899342562413 4.489998550786691
1.9775243185578566 4.544657110407589
2.1115295362474376 4.545022887374278
1.5700326836168859 3.7060492973324313
1.5285850363026896 3.7380472511956344
1.3615747113259362 4.094413926961632
2.206290860949091 3.575649533857317
2.053891467590497 3.563355983813978
1.6249642634151014 4.440176372178967
1.6380211778832239 3.665632136983147
1.4185361225004955 4.2507342410128865
1.940401160937339 3.5718878716093214
1.875511744025218 3.584276883302716
1.4231105323167392 4.2494128362642805
1.3772062348375282 4.129806712823999
1.8713306563699426 4.517114233165367
1.8714983439458823 3.5867885013986327
1.4647670866269151 3.8162525689377214
1.395799148839097 4.184506927684937
1.4790938787308183 3.800690318495483
2.4034610063604465 3.6438615550419184
1.5329755357072987 3.7502277597965277
1.868721153289249 4.509762377711631
2.5067762613733686 3.7029152079159084
1.5466528433290194 3.74209841888533
1.8542772788086648 4.505374749092576
2.0642859951286403 4.5254680211757785
1.6084060072272335 3.6973186059674212
1.791479387349565 4.488371424001087
2.0967726644098184 3.5764602972739756
2.6226625177530845 3.808742560567567
2.105547333010017 3.5778221714687324
2.540370172259332 3.7318572491652877
1.5241761100577371 4.342840901378016
2.216485229470958 3.5927251185147018
1.7263911215102734 4.462384962721871
1.6879803872543666 3.6579910243050064
1.8203130241331933 4.490717143315967
1.3928068147496913 4.008358568293148
1.4931866112045495 4.304366079349993
1.5456149770866796 4.353272017884675
2.1369989983560234 3.584917091132507
2.3459194733350044 3.6316303736587248
1.7650769394775716 3.62968907252735
1.5387647283395605 3.7620149964112937
1.448170767050727 4.239411043718166
1.3949463114164893 4.067944593684659
2.115118291611857 4.5113769088608
1.55775448437014 3.7466377337867676
1.5267177595802555 4.3299194148059525
2.635053601101795 3.843586943455375
1.6776022175591285 3.6715211063537168
1.6671663451678125 3.6771441605212476
2.3654990753312086 4.45479484381648
1.5596159369637608 3.749517641161765
1.4345399522049789 3.907107529900222
2.6887424379071447 4.155998418303383
2.4647030722558636 3.6933479223851324
1.4300523752807732 3.918453983116478
2.375192792463901 4.449404096927996
1.5009656021519688 3.810487369068385
1.6518438078113828 3.689194600777624
1.6470283172224822 4.408224570999918
1.4912775352784746 3.8235528298617947
1.408282092060331 4.003317335387817
1.8776855472952105 3.6056877093364434
2.0115283416137797 3.5904203255352862
1.6949072722858767 3.6693748925242953
2.416319450906698 3.672759671541934
1.5099564792821702 4.296995303272437
2.283026851468302 3.6221439771423802
1.6638539010991373 4.412018640867905
1.8086470995588042 3.6259321947555385
1.6474081736524584 3.6959713505797325
1.6935957935899217 4.424632283601025
1.5326296475389714 4.316434689270219
1.6145702889847409 3.720056644508034
2.6798985767803596 3.977093330683714
2.151657827929522 3.6002126084301764
2.021248097361614 4.493570387639478
1.5240773939911272 3.8021152630079667
1.7356998292235066 4.435602175380831
1.4411789442787264 3.933820321621645
2.665387636295589 3.943137766142589
